State;ACTION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GOTO;;;;;;;;;;;;;;;;;;;;;;
;begin;end;whileLoop;forLoop;";";char;id;=;string;int;numInt;float;numFloat;bool;while;(;);{;};for;:;if;else;opArith;ExpLog;opLog;!;TRUE;FALSE;input;output;+;-;*;/;%;$;Prog;Code;Inst;VarDclr;Dchar;Dint;Dfloat;Dbool;WhileLoop;ForLoop;IfCond;IfElseCond;Cond;A;Aff;Input;Output;Message;ExpArith;T;X;Z;F
0;s1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;r2;s7;s8;;s20;s19;;;s21;;s22;;s23;;;;;;;;s16;;;;;;;;s17;s18;;;;;;;;2;3;4;12;13;14;15;;;5;6;;;11;9;10;;;;;;
2;;s24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;r2;s7;s8;;s20;s19;;;s21;;s22;;s23;;;;;r2;;;s16;;;;;;;;s17;s18;;;;;;;;25;3;4;12;13;14;15;;;5;6;;;11;9;10;;;;;;
4;;r3;r3;r3;;r3;r3;;;r3;;r3;;r3;;;;;r3;;;r3;;;;;;;;r3;r3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;r4;r4;r4;;r4;r4;;;r4;;r4;;r4;;;;;r4;;;r4;s26;;;;;;;r4;r4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;r5;r5;r5;;r5;r5;;;r5;;r5;;r5;;;;;r5;;;r5;;;;;;;;r5;r5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;r6;r6;r6;;r6;r6;;;r6;;r6;;r6;;;;;r6;;;r6;;;;;;;;r6;r6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;;r7;r7;r7;;r7;r7;;;r7;;r7;;r7;;;;;r7;;;r7;;;;;;;;r7;r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;;;;;s27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;;;;s28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;;;;;s29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;;;;;s20;;;;s21;;s22;;s23;;;;;;;;;;;;;;;;;;;;;;;;;;;30;12;13;14;15;;;;;;;;;;;;;;;
13;;;;;;s20;;;;s21;;s22;;s23;;;;;;;;;;;;;;;;;;;;;;;;;;;31;12;13;14;15;;;;;;;;;;;;;;;
14;;;;;;s20;;;;s21;;s22;;s23;;;;;;;;;;;;;;;;;;;;;;;;;;;32;12;13;14;15;;;;;;;;;;;;;;;
15;;;;;;s20;;;;s21;;s22;;s23;;;;;;;;;;;;;;;;;;;;;;;;;;;33;12;13;14;15;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;;s34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;;;;;;;;;;;;;;;;;;;;;s35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;s36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;;;;;;;;s37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;;;;;;;s38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;;;;;;;s39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
